optimizer,activation,architecture,training_loss,training_accuracy,training_mae,training_mse,test_loss,test_accuracy,test_mae,test_mse,label,keywords
RAdam,tanh,AlexNet,"[2.2198230434417723, 1.8649940952301025, 1.6863216129302978, 1.4799669923782348, 1.4067754711151124, 1.2443504512786865, 1.180805662536621, 1.0588680903434753, 0.9405802916526794, 0.8492457368850708, 0.7812316868782043, 0.653842455291748, 0.6342308146476746, 0.5065839001178741, 0.38113416867256167]","[0.1617, 0.319, 0.38865, 0.46355, 0.49275, 0.5521, 0.5802, 0.62445, 0.66715, 0.699, 0.7284, 0.77375, 0.778, 0.82495, 0.86725]","[0.1766839, 0.15948391, 0.1472606, 0.13486262, 0.12881784, 0.11589997, 0.110225305, 0.10059971, 0.09120809, 0.082373254, 0.07613894, 0.06586684, 0.062036555, 0.052682556, 0.041287363]","[0.1766839, 0.15948391, 0.1472606, 0.13486262, 0.12881784, 0.11589997, 0.110225305, 0.10059971, 0.09120809, 0.082373254, 0.07613894, 0.06586684, 0.062036555, 0.052682556, 0.041287363]",1.219462343,0.6425,0.07875295,0.052709073,milestone-experiments2,benchmark_testing
SGD,relu,AlexNet,"[2.3031781379699705, 2.3024271995544434, 2.3020798511505127, 2.3013807842254637, 2.3011359287261963, 2.300946151351929, 2.3008616291046144, 2.300243773651123, 2.2998820472717285, 2.2994349742889404, 2.2993408191680906, 2.2984788402557372, 2.298177159500122, 2.297786107254028, 2.2971530529022215]","[0.10375, 0.10735, 0.1049, 0.1108, 0.11425, 0.11085, 0.1119, 0.11685, 0.1122, 0.1225, 0.1199, 0.12945, 0.13115, 0.1301, 0.134]","[0.17999974, 0.17998548, 0.17997903, 0.17996512, 0.17996013, 0.17995685, 0.1799553, 0.17994297, 0.17993581, 0.17992632, 0.17992416, 0.17990656, 0.1799, 0.17989185, 0.17987819]","[0.17999974, 0.17998548, 0.17997903, 0.17996512, 0.17996013, 0.17995685, 0.1799553, 0.17994297, 0.17993581, 0.17992632, 0.17992416, 0.17990656, 0.1799, 0.17989185, 0.17987819]",2.295927971,0.1625,0.1798622,0.08986575,milestone-experiments2,benchmark_testing
SGD,selu,AlexNet,"[2.2884847423553465, 2.136387844848633, 2.050041193199158, 2.0009775510787966, 1.918959601020813, 1.9019137649536133, 1.869522703742981, 1.829613946723938, 1.8039231149673463, 1.7918383184432984, 1.7519374534606933, 1.7276823352813722, 1.6804327688217162, 1.6893675842285156, 1.6611676263809203]","[0.1556, 0.2131, 0.25625, 0.27455, 0.3095, 0.316, 0.3313, 0.3466, 0.35505, 0.36235, 0.3759, 0.37995, 0.39975, 0.3987, 0.40465]","[0.1773476, 0.17273153, 0.16938646, 0.16659471, 0.16346018, 0.16171753, 0.15980552, 0.15803395, 0.15633619, 0.15504986, 0.15327182, 0.15196913, 0.14983465, 0.14909282, 0.14727063]","[0.1773476, 0.17273153, 0.16938646, 0.16659471, 0.16346018, 0.16171753, 0.15980552, 0.15803395, 0.15633619, 0.15504986, 0.15327182, 0.15196913, 0.14983465, 0.14909282, 0.14727063]",1.605778597,0.4455,0.14545852,0.07018036,milestone-experiments2,benchmark_testing
SGD,tanh,AlexNet,"[2.309439694213867, 2.294294956970215, 2.2805453971862795, 2.264793553543091, 2.2463451934814453, 2.22428581237793, 2.1986276763916015, 2.169581643295288, 2.1385152950286863, 2.1103526580810548, 2.0858540588378904, 2.0646314498901366, 2.0414888343811035, 2.022438314819336, 2.0081090560913086]","[0.1023, 0.1237, 0.1401, 0.16405, 0.1815, 0.1959, 0.20935, 0.2144, 0.2267, 0.2293, 0.2353, 0.2458, 0.2498, 0.2584, 0.25875]","[0.17993695, 0.17967045, 0.17940319, 0.17904986, 0.17859, 0.17801589, 0.17724383, 0.17625326, 0.17510696, 0.17388088, 0.17275645, 0.17169935, 0.17073213, 0.16989268, 0.1691132]","[0.17993695, 0.17967045, 0.17940319, 0.17904986, 0.17859, 0.17801589, 0.17724383, 0.17625326, 0.17510696, 0.17388088, 0.17275645, 0.17169935, 0.17073213, 0.16989268, 0.1691132]",1.97404083,0.329,0.16849883,0.08248075,milestone-experiments2,benchmark_testing
Adam,relu,MiniVGGNet,"[2.5868257192611694, 1.7709872575759888, 1.5085125762939453, 1.369240040588379, 1.269718630218506, 1.1522817880630494, 1.0494357995033263, 0.9779162112236023, 0.898210772895813, 0.8101462715148926, 0.7104672318458557, 0.6096073225021362, 0.5185410613059998, 0.43871063804626464, 0.3466208477497101]","[0.18265, 0.3768, 0.4691, 0.51555, 0.5527, 0.593, 0.632, 0.6591, 0.68895, 0.7213, 0.7554, 0.7918, 0.826, 0.85515, 0.88855]","[0.17520434, 0.15419485, 0.1370007, 0.1269616, 0.11962812, 0.11056201, 0.10174355, 0.09568825, 0.08925143, 0.08208094, 0.073969565, 0.06460988, 0.05684703, 0.04921284, 0.040704217]","[0.17520434, 0.15419485, 0.1370007, 0.1269616, 0.11962812, 0.11056201, 0.10174355, 0.09568825, 0.08925143, 0.08208094, 0.073969565, 0.06460988, 0.05684703, 0.04921284, 0.040704217]",1.309268887,0.62875,0.08285684,0.05336091,milestone-experiments2,benchmark_testing
Adam,selu,MiniVGGNet,"[24.448781957244872, 2.6321485004425047, 1.8423989261627198, 1.6514046447753907, 1.5573024742126464, 1.4940299381256104, 1.4477435380935668, 1.4015424390792848, 1.3575442396163941, 1.3305992307662964, 1.2770232860565185, 1.235189129638672, 1.1950181177139283, 1.1852906726837158, 1.2113919675827027]","[0.13765, 0.23565, 0.34435, 0.4227, 0.4643, 0.48515, 0.50275, 0.5195, 0.5325, 0.53955, 0.5616, 0.57665, 0.59105, 0.59135, 0.57965]","[0.17303507, 0.16502354, 0.15653469, 0.14614792, 0.14088069, 0.13729809, 0.13403635, 0.1309715, 0.1277289, 0.1254457, 0.12174305, 0.11907049, 0.1160939, 0.11426421, 0.113771535]","[0.17303507, 0.16502354, 0.15653469, 0.14614792, 0.14088069, 0.13729809, 0.13403635, 0.1309715, 0.1277289, 0.1254457, 0.12174305, 0.11907049, 0.1160939, 0.11426421, 0.113771535]",1.279058733,0.554,0.11713652,0.05795353,milestone-experiments2,benchmark_testing
Adam,tanh,MiniVGGNet,"[6.337060125732422, 3.255509254074097, 2.352007479476929, 2.2535000839233397, 2.218002342605591, 2.1785196769714354, 2.147596837234497, 2.1093369998931886, 2.0708930782318116, 2.0203929851531983, 1.9469019596099852, 1.8505993698120118, 1.772669160270691, 1.6682347314834596, 1.6046445734024049]","[0.1045, 0.11745, 0.1166, 0.15305, 0.18465, 0.18865, 0.19725, 0.23115, 0.25595, 0.2808, 0.3125, 0.34235, 0.37415, 0.414, 0.4352]","[0.17924567, 0.17938957, 0.17896803, 0.17852639, 0.17776711, 0.17630932, 0.1752294, 0.17331862, 0.17189184, 0.16963767, 0.16588981, 0.16121684, 0.15721133, 0.15061727, 0.14685474]","[0.17924567, 0.17938957, 0.17896803, 0.17852639, 0.17776711, 0.17630932, 0.1752294, 0.17331862, 0.17189184, 0.16963767, 0.16588981, 0.16121684, 0.15721133, 0.15061727, 0.14685474]",1.596624968,0.4305,0.14498773,0.07062656,milestone-experiments2,benchmark_testing
NAdam,relu,MiniVGGNet,"[2.590205046081543, 2.1741824401855467, 1.974273377609253, 2.006990070915222, 1.6691084283828734, 1.490931023979187, 1.4082424354553222, 1.3727560836791992, 1.2084047416687012, 1.1415077976226806, 1.0207694499969482, 0.9401944648742676, 0.8687803304672241, 0.8009189630508423, 0.651337518119812]","[0.15205, 0.243, 0.29385, 0.3188, 0.4091, 0.4705, 0.50575, 0.5193, 0.57375, 0.602, 0.64275, 0.67485, 0.6962, 0.7248, 0.7806]","[0.17835367, 0.17159653, 0.16372688, 0.1625398, 0.14624095, 0.13510472, 0.12790285, 0.12475709, 0.1140074, 0.10822981, 0.09863047, 0.09198968, 0.08599898, 0.08093503, 0.06827369]","[0.17835367, 0.17159653, 0.16372688, 0.1625398, 0.14624095, 0.13510472, 0.12790285, 0.12475709, 0.1140074, 0.10822981, 0.09863047, 0.09198968, 0.08599898, 0.08093503, 0.06827369]",1.371299794,0.5745,0.097867236,0.05944915,milestone-experiments2,benchmark_testing
NAdam,selu,MiniVGGNet,"[26.55378751525879, 2.5053553789138796, 1.7449340114593506, 1.6506147596359253, 1.569590636253357, 1.4884869632720947, 1.4450115970611572, 1.4036405765533446, 1.3145660932540895, 1.2764960561752319, 1.3086487052917481, 1.19900945854187, 1.166651081085205, 1.1368328605651856, 1.066909600830078]","[0.1403, 0.27965, 0.3851, 0.4151, 0.45095, 0.47815, 0.4951, 0.51065, 0.53995, 0.55165, 0.5427, 0.58065, 0.59485, 0.60365, 0.63115]","[0.1720634, 0.16193207, 0.15050001, 0.14383993, 0.13937846, 0.13426377, 0.13098961, 0.12758459, 0.12320294, 0.12007413, 0.11915713, 0.11423244, 0.11088395, 0.1088006, 0.103924915]","[0.1720634, 0.16193207, 0.15050001, 0.14383993, 0.13937846, 0.13426377, 0.13098961, 0.12758459, 0.12320294, 0.12007413, 0.11915713, 0.11423244, 0.11088395, 0.1088006, 0.103924915]",1.26391608,0.55075,0.11373592,0.057980314,milestone-experiments2,benchmark_testing
NAdam,tanh,MiniVGGNet,"[8.39171700515747, 2.9047924606323243, 2.3099784801483154, 2.305486508178711, 2.304469717788696, 2.305303869628906, 2.3052383964538574, 2.3044849365234374, 2.305744797515869, 2.305666061401367, 2.3058868648529054, 2.3068020359039307, 2.3074331695556642, 2.307504921722412, 2.3068029899597167]","[0.10205, 0.10395, 0.09885, 0.1007, 0.1002, 0.0988, 0.09875, 0.09675, 0.1003, 0.09615, 0.1011, 0.09765, 0.09685, 0.09925, 0.09835]","[0.17942664, 0.17999157, 0.18000503, 0.17998599, 0.17999487, 0.18001065, 0.18001077, 0.17998545, 0.17999977, 0.17999156, 0.18000671, 0.17999521, 0.18001465, 0.18001196, 0.17998627]","[0.17942664, 0.17999157, 0.18000503, 0.17998599, 0.17999487, 0.18001065, 0.18001077, 0.17998545, 0.17999977, 0.17999156, 0.18000671, 0.17999521, 0.18001465, 0.18001196, 0.17998627]",2.315956581,0.099,0.18005456,0.09025353,milestone-experiments2,benchmark_testing
RAdam,relu,MiniVGGNet,"[2.1563422439575195, 1.6675281549453735, 1.3995234188079835, 1.2734906381607056, 1.12512725315094, 0.9896886328697204, 0.9129650220870972, 0.8306030021667481, 0.7186313429832458, 0.5525366567611695, 0.472588551235199, 0.33738569917678835, 0.23102443675994874, 0.15235715997219085, 0.104843932056427]","[0.19925, 0.41115, 0.50615, 0.54915, 0.6053, 0.6549, 0.6801, 0.711, 0.7486, 0.8095, 0.83685, 0.8895, 0.92535, 0.9524, 0.9673]","[0.17359003, 0.14659584, 0.12978527, 0.11974692, 0.10766492, 0.0971694, 0.09076971, 0.08336442, 0.07444235, 0.059409816, 0.05226013, 0.039328463, 0.028000675, 0.019280417, 0.014098373]","[0.17359003, 0.14659584, 0.12978527, 0.11974692, 0.10766492, 0.0971694, 0.09076971, 0.08336442, 0.07444235, 0.059409816, 0.05226013, 0.039328463, 0.028000675, 0.019280417, 0.014098373]",1.767919271,0.63425,0.07731227,0.05769254,milestone-experiments2,benchmark_testing
RAdam,selu,MiniVGGNet,"[6.769148949050903, 2.138659162712097, 1.6058493549346924, 1.448269919204712, 1.3445276916503905, 1.2747611265182495, 1.1887962337493896, 1.1311625673294068, 1.0448907379150392, 0.9317064273834228, 0.8399938804626464, 0.7488874665260314, 0.6716070663452148, 0.6001418809890747, 0.49432765965461734]","[0.15785, 0.32935, 0.43905, 0.4988, 0.5303, 0.553, 0.5842, 0.6072, 0.63765, 0.67865, 0.7101, 0.746, 0.77105, 0.79875, 0.83545]","[0.17041674, 0.15060744, 0.14109638, 0.1314468, 0.12478997, 0.11829736, 0.11208711, 0.10590389, 0.09960028, 0.09205936, 0.0852338, 0.077623025, 0.07066411, 0.06450641, 0.05583214]","[0.17041674, 0.15060744, 0.14109638, 0.1314468, 0.12478997, 0.11829736, 0.11208711, 0.10590389, 0.09960028, 0.09205936, 0.0852338, 0.077623025, 0.07066411, 0.06450641, 0.05583214]",1.235261526,0.61575,0.08822595,0.05362602,milestone-experiments2,benchmark_testing
RAdam,tanh,MiniVGGNet,"[2.6052473003387453, 1.7425426321029662, 1.4761421989440917, 1.40919329662323, 1.2698148056030274, 1.2091137315750122, 1.1037037473678588, 0.9983400526046753, 0.9770555913925171, 0.8741427854537964, 1.1691584014892578, 3.2036302101135252, 1.9328530685424805, 1.6559958486557007, 1.4150946928024293]","[0.21215, 0.40705, 0.487, 0.5139, 0.56565, 0.5797, 0.6208, 0.6566, 0.65985, 0.6974, 0.63555, 0.26955, 0.29165, 0.408, 0.4991]","[0.16391101, 0.14156926, 0.13258913, 0.12635241, 0.11816789, 0.112245984, 0.104577124, 0.09734045, 0.093590036, 0.086512655, 0.09190637, 0.15401766, 0.16613472, 0.14660871, 0.13054876]","[0.16391101, 0.14156926, 0.13258913, 0.12635241, 0.11816789, 0.112245984, 0.104577124, 0.09734045, 0.093590036, 0.086512655, 0.09190637, 0.15401766, 0.16613472, 0.14660871, 0.13054876]",1.428986975,0.493,0.13077135,0.06458583,milestone-experiments2,benchmark_testing
SGD,relu,MiniVGGNet,"[2.291938614273071, 2.262219458389282, 2.203573951721191, 2.1634388439178465, 2.116303171157837, 2.0781326248168943, 2.036391724205017, 2.0070812017440796, 1.9870445365905762, 1.9630224239349365, 1.9101519771575928, 1.897723544883728, 1.877588593864441, 1.8554327236175536, 1.8225195938110352]","[0.13505, 0.1857, 0.2285, 0.21555, 0.24355, 0.2486, 0.2772, 0.28745, 0.30385, 0.31105, 0.3255, 0.3291, 0.3362, 0.34835, 0.35125]","[0.17975207, 0.17906474, 0.17749664, 0.17499357, 0.17295311, 0.1709529, 0.16916664, 0.16744013, 0.16566256, 0.16529667, 0.16255918, 0.16190374, 0.15983813, 0.15950325, 0.15737484]","[0.17975207, 0.17906474, 0.17749664, 0.17499357, 0.17295311, 0.1709529, 0.16916664, 0.16744013, 0.16566256, 0.16529667, 0.16255918, 0.16190374, 0.15983813, 0.15950325, 0.15737484]",1.769671078,0.3715,0.15513836,0.07583429,milestone-experiments2,benchmark_testing
SGD,selu,MiniVGGNet,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.1001, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",nan,0.09725,nan,nan,milestone-experiments2,benchmark_testing
SGD,tanh,MiniVGGNet,"[2.2368615257263182, 2.076701747131348, 1.9433566820144654, 1.8605157707214355, 1.7974145998001099, 1.744139338874817, 1.6924480926513672, 1.6526906496047973, 1.635616894721985, 1.619006572341919, 1.5773505041122438, 1.5610048147201538, 1.5432371841430663, 1.5260114259719848, 1.5031330518722534]","[0.1864, 0.27905, 0.3239, 0.35065, 0.37225, 0.39905, 0.41295, 0.4282, 0.43365, 0.43795, 0.4512, 0.45705, 0.4651, 0.4721, 0.4738]","[0.17725863, 0.17146519, 0.16599804, 0.16078997, 0.15720989, 0.1539705, 0.15054311, 0.14844625, 0.1464063, 0.14521155, 0.14279905, 0.14112078, 0.13995807, 0.13851318, 0.13710505]","[0.17725863, 0.17146519, 0.16599804, 0.16078997, 0.15720989, 0.1539705, 0.15054311, 0.14844625, 0.1464063, 0.14521155, 0.14279905, 0.14112078, 0.13995807, 0.13851318, 0.13710505]",1.525574078,0.46825,0.1359862,0.06723412,milestone-experiments2,benchmark_testing
Adam,relu,ZFNet,"[2.3012647678375244, 2.302748024749756, 2.302544046020508, 2.302586937713623, 2.3025388389587405, 2.30250897102356, 2.3554773239135742, 2.3033242267608642, 2.3277457759857176, 2.3003605068206787, 2.2890894859313966, 2.211351321411133, 2.111816345214844, 1.9848854730606078, 1.9000126256942749]","[0.1038, 0.09975, 0.10095, 0.1021, 0.09835, 0.10185, 0.12935, 0.1001, 0.1181, 0.1057, 0.11745, 0.15315, 0.1716, 0.1979, 0.2412]","[0.17967333, 0.17999528, 0.17999743, 0.17999758, 0.17999634, 0.17999467, 0.17927825, 0.17999569, 0.17966115, 0.17990471, 0.17950356, 0.17641687, 0.17289491, 0.16912833, 0.16494966]","[0.17967333, 0.17999528, 0.17999743, 0.17999758, 0.17999634, 0.17999467, 0.17927825, 0.17999569, 0.17966115, 0.17990471, 0.17950356, 0.17641687, 0.17289491, 0.16912833, 0.16494966]",1.87731373,0.25175,0.16268313,0.081482485,milestone-experiments2,benchmark_testing
Adam,selu,ZFNet,"[43.16118698730469, 20.5044162361145, 6.261189186859131, 2.747804475402832, 2.275994641494751, 2.193171557998657, 2.145201208114624, 2.06917572517395, 1.9981206296920777, 1.931528107070923, 1.8964707408905028, 1.8684326065063477, 1.8460438285827636, 1.8076751428604125, 1.822215093421936]","[0.09805, 0.10125, 0.1042, 0.12035, 0.1504, 0.1719, 0.19705, 0.23025, 0.24485, 0.26475, 0.2723, 0.28335, 0.2883, 0.30265, 0.3028]","[0.1807849, 0.17962432, 0.17923518, 0.17870471, 0.17752147, 0.17567454, 0.17356126, 0.17087936, 0.16682062, 0.16304648, 0.16144295, 0.16007642, 0.15892197, 0.15701121, 0.15625896]","[0.1807849, 0.17962432, 0.17923518, 0.17870471, 0.17752147, 0.17567454, 0.17356126, 0.17087936, 0.16682062, 0.16304648, 0.16144295, 0.16007642, 0.15892197, 0.15701121, 0.15625896]",1.922127843,0.28275,0.15874164,0.082593925,milestone-experiments2,benchmark_testing
Adam,tanh,ZFNet,"[8.820817406463624, 3.275843992614746, 2.3818914730072023, 2.323894910812378, 2.3200243740081787, 2.327521996307373, 2.3272858665466307, 2.3226307720184325, 2.317978942489624, 2.3308612216949465, 2.328615723800659, 2.3324677211761475, 2.325543251800537, 2.3201567935943603, 2.3349879089355468]","[0.10385, 0.0971, 0.09735, 0.0989, 0.10265, 0.103, 0.09825, 0.10045, 0.1012, 0.10495, 0.099, 0.101, 0.10195, 0.09895, 0.10075]","[0.17967363, 0.1801224, 0.18003902, 0.17999311, 0.17996638, 0.17996836, 0.18001656, 0.18001035, 0.17998578, 0.17994611, 0.17998332, 0.17998643, 0.17994268, 0.17998946, 0.17997435]","[0.17967363, 0.1801224, 0.18003902, 0.17999311, 0.17996638, 0.17996836, 0.18001656, 0.18001035, 0.17998578, 0.17994611, 0.17998332, 0.17998643, 0.17994268, 0.17998946, 0.17997435]",2.317906742,0.099,0.17999075,0.09029764,milestone-experiments2,benchmark_testing
NAdam,relu,ZFNet,"[2.4067039836883546, 2.6501573169708252, 2.302597908401489, 2.3027247005462645, 2.3025913093566897, 2.309132061767578, 2.3025570190429687, 2.3023815647125243, 2.3017751144409178, 2.3083685554504396, 2.3023081756591797, 2.553649060821533, 2.303147597503662, 2.4508304222106934, 2.311673254776001]","[0.1112, 0.106, 0.10295, 0.10345, 0.1021, 0.1013, 0.09935, 0.10155, 0.10115, 0.10495, 0.1021, 0.10365, 0.102, 0.1007, 0.1027]","[0.1797566, 0.1799048, 0.17999688, 0.17996463, 0.17999652, 0.17994145, 0.17999601, 0.17999265, 0.17993252, 0.17994696, 0.17996679, 0.17999497, 0.17999251, 0.17993432, 0.17995329]","[0.1797566, 0.1799048, 0.17999688, 0.17996463, 0.17999652, 0.17994145, 0.17999601, 0.17999265, 0.17993252, 0.17994696, 0.17996679, 0.17999497, 0.17999251, 0.17993432, 0.17995329]",2.302154982,0.11825,0.17998885,0.089991316,milestone-experiments2,benchmark_testing
NAdam,selu,ZFNet,"[46.105498266601565, 42.20547259979248, 3.4839453636169435, 2.1100765880584715, 2.129707236480713, 2.054424264907837, 2.1379696643829345, 1.9468707820892335, 1.8767509580612183, 2.359881163406372, 1.6564554887771605, 1.5227379346847534, 1.4576111770629883, 1.4123255310058593, 1.3800673728942872]","[0.10775, 0.0979, 0.16425, 0.24845, 0.25355, 0.27805, 0.2817, 0.3287, 0.35095, 0.29445, 0.41155, 0.45235, 0.48015, 0.49585, 0.51315]","[0.17845367, 0.18003528, 0.17373534, 0.16557519, 0.16292001, 0.15918493, 0.15748349, 0.15403596, 0.14959614, 0.1544545, 0.14207815, 0.134994, 0.13121316, 0.12787788, 0.12485349]","[0.17845367, 0.18003528, 0.17373534, 0.16557519, 0.16292001, 0.15918493, 0.15748349, 0.15403596, 0.14959614, 0.1544545, 0.14207815, 0.134994, 0.13121316, 0.12787788, 0.12485349]",1.694846931,0.4125,0.13790952,0.07244828,milestone-experiments2,benchmark_testing
NAdam,tanh,ZFNet,"[10.734061276245118, 8.333838165283202, 2.4351836467742918, 2.511097265625, 2.564392978286743, 2.6523047966003417, 2.8148986602783204, 2.9175096446990967, 2.7967851654052733, 2.762049166870117, 2.838949083328247, 2.889845148849487, 3.0117364280700682, 2.7566565925598145, 2.7287906242370608]","[0.1017, 0.1017, 0.0975, 0.10255, 0.1003, 0.10175, 0.10225, 0.10145, 0.0998, 0.10455, 0.099, 0.09725, 0.10115, 0.09845, 0.09915]","[0.17973797, 0.1797651, 0.18002397, 0.17997678, 0.17990783, 0.17988724, 0.17992789, 0.1798463, 0.18007231, 0.17983653, 0.18007761, 0.18011855, 0.17997484, 0.17993572, 0.1799605]","[0.17973797, 0.1797651, 0.18002397, 0.17997678, 0.17990783, 0.17988724, 0.17992789, 0.1798463, 0.18007231, 0.17983653, 0.18007761, 0.18011855, 0.17997484, 0.17993572, 0.1799605]",2.95639419,0.09725,0.18024468,0.09998742,milestone-experiments2,benchmark_testing
RAdam,relu,ZFNet,"[2.2926843917846678, 2.2894711532592775, 2.2917113372802733, 2.070444097137451, 1.941172201538086, 1.830330933189392, 1.8332778800964356, 1.6482108268737794, 1.559372095489502, 1.5233022045135498, 1.4555545404434205, 1.3816752799987793, 1.2891746858596802, 1.3336807237625121, 1.2423664304733277]","[0.114, 0.17415, 0.13805, 0.18525, 0.22915, 0.28175, 0.31025, 0.36145, 0.406, 0.41685, 0.4483, 0.4772, 0.51515, 0.5093, 0.5392]","[0.17920737, 0.17513008, 0.17910372, 0.1715, 0.16709982, 0.16025445, 0.15819402, 0.14810376, 0.14211918, 0.13910697, 0.13395129, 0.12829702, 0.1215793, 0.124071866, 0.11710742]","[0.17920737, 0.17513008, 0.17910372, 0.1715, 0.16709982, 0.16025445, 0.15819402, 0.14810376, 0.14211918, 0.13910697, 0.13395129, 0.12829702, 0.1215793, 0.124071866, 0.11710742]",1.352422673,0.49925,0.12062571,0.06308682,milestone-experiments2,benchmark_testing
RAdam,selu,ZFNet,"[2.2082645654678346, 1.9875055236816406, 1.9145429794311524, 16.488629016113283, 42.51459891204834, 4.57826252746582, 3.057248965072632, 2.392660587692261, 2.3170360694885255, 2.3021164764404296, 2.294193829345703, 2.275923364639282, 2.8269438953399657, 2.7641643115997314, 2.3478219409942627]","[0.17545, 0.30075, 0.3271, 0.1966, 0.10035, 0.1021, 0.10185, 0.10435, 0.1063, 0.11235, 0.12485, 0.1404, 0.1135, 0.10755, 0.1348]","[0.17259736, 0.15707833, 0.15217426, 0.1657426, 0.17999306, 0.17979792, 0.17976567, 0.1798137, 0.17971012, 0.17951146, 0.17904364, 0.17810008, 0.1785261, 0.17937195, 0.1781167]","[0.17259736, 0.15707833, 0.15217426, 0.1657426, 0.17999306, 0.17979792, 0.17976567, 0.1798137, 0.17971012, 0.17951146, 0.17904364, 0.17810008, 0.1785261, 0.17937195, 0.1781167]",2.300025669,0.1095,0.17764157,0.090290144,milestone-experiments2,benchmark_testing
RAdam,tanh,ZFNet,"[2.2095654413223267, 1.852894450569153, 1.814191978263855, 1.5724187561035157, 1.9662516563415526, 15.270353703308105, 4.850042321777344, 2.629385551071167, 2.350615196609497, 2.3232467582702636, 2.3320654712677, 2.325182244491577, 2.323139228439331, 2.33559012298584, 2.333321975708008]","[0.15945, 0.31525, 0.3535, 0.4313, 0.395, 0.09985, 0.09935, 0.09915, 0.0991, 0.0974, 0.09965, 0.0996, 0.1019, 0.103, 0.10025]","[0.17530313, 0.15786599, 0.15071063, 0.1370994, 0.13971537, 0.18004386, 0.17994435, 0.18006825, 0.17998454, 0.18002258, 0.17998847, 0.17994855, 0.17997247, 0.18002503, 0.1799724]","[0.17530313, 0.15786599, 0.15071063, 0.1370994, 0.13971537, 0.18004386, 0.17994435, 0.18006825, 0.17998454, 0.18002258, 0.17998847, 0.17994855, 0.17997247, 0.18002503, 0.1799724]",2.333608461,0.102,0.17994177,0.09059947,milestone-experiments2,benchmark_testing
SGD,relu,ZFNet,"[2.3024378192901613, 2.302257233810425, 2.3020769958496095, 2.3019091037750243, 2.301749987411499, 2.3015986194610596, 2.301452297592163, 2.301304943847656, 2.3011598651885987, 2.3010108226776125, 2.3008535121917726, 2.3006896137237547, 2.300517152786255, 2.3003334869384764, 2.3001474266052244]","[0.10135, 0.10135, 0.10135, 0.10135, 0.10135, 0.10135, 0.10135, 0.10145, 0.1015, 0.10215, 0.10155, 0.1038, 0.10795, 0.11215, 0.1166]","[0.17999671, 0.1799931, 0.1799895, 0.1799861, 0.17998292, 0.17997985, 0.17997684, 0.17997387, 0.17997086, 0.17996784, 0.17996459, 0.17996128, 0.17995769, 0.179954, 0.17995007]","[0.17999671, 0.1799931, 0.1799895, 0.1799861, 0.17998292, 0.17997985, 0.17997684, 0.17997387, 0.17997086, 0.17996784, 0.17996459, 0.17996128, 0.17995769, 0.179954, 0.17995007]",2.300071461,0.11625,0.17994848,0.08994965,milestone-experiments2,benchmark_testing
SGD,selu,ZFNet,"[2.27384822845459, 2.2017233013153077, 2.1382729095458983, 2.0782339126586913, 2.047224396324158, 1.979599137878418, 1.963758172225952, 1.9156688302993774, 1.859452123451233, 1.8459517168045043, 1.8242612926483155, 1.7553060297012328, 1.769470315361023, 1.7328062770843506, 1.728281933403015]","[0.17125, 0.24985, 0.236, 0.25875, 0.2596, 0.2884, 0.2996, 0.312, 0.33205, 0.3383, 0.3391, 0.36955, 0.36605, 0.38175, 0.3813]","[0.17932917, 0.17758533, 0.17493011, 0.17214026, 0.17010744, 0.16741757, 0.16582176, 0.16374122, 0.16116357, 0.16015819, 0.158499, 0.1556684, 0.15544611, 0.15388812, 0.15316977]","[0.17932917, 0.17758533, 0.17493011, 0.17214026, 0.17010744, 0.16741757, 0.16582176, 0.16374122, 0.16116357, 0.16015819, 0.158499, 0.1556684, 0.15544611, 0.15388812, 0.15316977]",1.788679975,0.36075,0.15436444,0.07721768,milestone-experiments2,benchmark_testing
SGD,tanh,ZFNet,"[2.300708369064331, 2.297967621231079, 2.29548730430603, 2.2930504158020018, 2.2904912139892577, 2.287668041229248, 2.284410704421997, 2.2805578014373777, 2.2759310516357423, 2.270192416381836, 2.2628939903259275, 2.253387376022339, 2.240767637252808, 2.223530389022827, 2.199720896911621]","[0.0867, 0.0978, 0.101, 0.10755, 0.11035, 0.10435, 0.10825, 0.12305, 0.12985, 0.13265, 0.1679, 0.1838, 0.2133, 0.23325, 0.2507]","[0.17994967, 0.1798944, 0.17984033, 0.17978711, 0.17973022, 0.179668, 0.17959711, 0.17950892, 0.17940408, 0.17927043, 0.17910495, 0.17887904, 0.17858064, 0.17815006, 0.17752726]","[0.17994967, 0.1798944, 0.17984033, 0.17978711, 0.17973022, 0.179668, 0.17959711, 0.17950892, 0.17940408, 0.17927043, 0.17910495, 0.17887904, 0.17858064, 0.17815006, 0.17752726]",2.184908062,0.2495,0.17710055,0.08753273,milestone-experiments2,benchmark_testing
