optimizer,activation,architecture,training_loss,training_accuracy,training_mae,training_mse,test_loss,test_accuracy,test_mae,test_mse,label,keywords
SGD,selu,LeNet5,"[2.2934720085144042, 2.22511544380188, 2.1702590473175047, 2.1214061435699465, 2.0767205158233644, 2.0739558094024657, 2.0148705751419067, 1.98979213180542, 1.9522644414901733, 1.9405167190551758, 1.8961619518280028, 1.904120559501648, 1.8622196475982666, 1.8732055408477783, 1.8221407768249511]","[0.12795, 0.18975, 0.2303, 0.2549, 0.26785, 0.2615, 0.29005, 0.2965, 0.3183, 0.3172, 0.33475, 0.3321, 0.3464, 0.33685, 0.36255]","[0.17941946, 0.17788531, 0.17631654, 0.17464322, 0.17283432, 0.17172521, 0.16979384, 0.16828875, 0.16654627, 0.16549347, 0.16379578, 0.16328984, 0.1616324, 0.16126706, 0.15956567]","[0.17941946, 0.17788531, 0.17631654, 0.17464322, 0.17283432, 0.17172521, 0.16979384, 0.16828875, 0.16654627, 0.16549347, 0.16379578, 0.16328984, 0.1616324, 0.16126706, 0.15956567]",1.823913292,0.36375,0.15889883,0.07772223,milestone-experiments2,benchmark_testing
SGD,tanh,LeNet5,"[2.303333819961548, 2.2880916233062742, 2.2756483989715575, 2.26256178817749, 2.2476440757751464, 2.230089652633667, 2.2087720920562743, 2.182860055923462, 2.152021854019165, 2.11901932220459, 2.0878158557891844, 2.061229788970947, 2.039029574584961, 2.02408650932312, 2.0078473785400393]","[0.10075, 0.1255, 0.142, 0.15635, 0.1778, 0.18935, 0.19885, 0.21455, 0.22945, 0.2392, 0.25505, 0.2682, 0.27025, 0.27745, 0.2852]","[0.17992012, 0.17965287, 0.17938204, 0.17908885, 0.17874447, 0.17831518, 0.17776582, 0.17705145, 0.17611505, 0.17501228, 0.17381874, 0.17265074, 0.17154968, 0.17072931, 0.16992438]","[0.17992012, 0.17965287, 0.17938204, 0.17908885, 0.17874447, 0.17831518, 0.17776582, 0.17705145, 0.17611505, 0.17501228, 0.17381874, 0.17265074, 0.17154968, 0.17072931, 0.16992438]",2.002261143,0.30175,0.16932341,0.083297744,milestone-experiments2,benchmark_testing
Adam,relu,AlexNet,"[2.1984380126953127, 1.9283532648086548, 1.7778691707611085, 1.664726759338379, 1.5374252792358398, 1.4523766874313355, 1.3805215744018555, 1.2963273944854736, 1.2172751111984252, 1.17422686252594, 1.098118088722229, 1.0279141660690307, 1.0175629947662355, 0.9561371256828308, 0.8673922545433045]","[0.16365, 0.2647, 0.3257, 0.3749, 0.42245, 0.4575, 0.4925, 0.5228, 0.5544, 0.572, 0.59965, 0.63105, 0.63285, 0.6608, 0.6915]","[0.17558935, 0.16472884, 0.15571648, 0.14847898, 0.13989705, 0.13317253, 0.1277597, 0.12140181, 0.11505209, 0.11117902, 0.10515559, 0.0988688, 0.09852851, 0.09227937, 0.08514741]","[0.17558935, 0.16472884, 0.15571648, 0.14847898, 0.13989705, 0.13317253, 0.1277597, 0.12140181, 0.11505209, 0.11117902, 0.10515559, 0.0988688, 0.09852851, 0.09227937, 0.08514741]",0.9569706216,0.6615,0.08683823,0.045496434,milestone-experiments2,benchmark_testing
Adam,selu,AlexNet,"[2.5474843269348146, 1.7484972717285157, 1.5052580568313598, 1.3603291442871093, 1.2385197208404541, 1.1477938579559326, 1.0175747451782227, 0.9122031776428222, 0.8296916563987732, 0.7334724459648132, 0.6710977546691894, 0.5373606760025025, 0.4311551924228668, 0.3391841460227966, 0.2922544306755066]","[0.195, 0.35745, 0.45515, 0.51365, 0.55695, 0.59075, 0.6403, 0.68215, 0.70905, 0.742, 0.76915, 0.81785, 0.8535, 0.88455, 0.9005]","[0.16974446, 0.15148738, 0.13683137, 0.12595914, 0.11633863, 0.108463295, 0.09857716, 0.08921332, 0.08240673, 0.07449984, 0.067959525, 0.057509057, 0.04829654, 0.039109062, 0.03365642]","[0.16974446, 0.15148738, 0.13683137, 0.12595914, 0.11633863, 0.108463295, 0.09857716, 0.08921332, 0.08240673, 0.07449984, 0.067959525, 0.057509057, 0.04829654, 0.039109062, 0.03365642]",1.155373942,0.665,0.07390981,0.049026616,milestone-experiments2,benchmark_testing
Adam,tanh,AlexNet,"[2.1586468351364134, 1.7781267932891847, 1.6082765993118286, 1.4155129154205321, 1.2610384771347045, 1.1388978141784667, 1.131282808303833, 0.9937246368408204, 0.8914410000801086, 0.7945958533287049, 0.7071611392974854, 0.6158362886428833, 0.5377203154563904, 0.46581472153663633, 0.3929549952030182]","[0.20135, 0.3487, 0.4153, 0.48975, 0.5475, 0.5941, 0.6004, 0.64975, 0.6872, 0.72465, 0.7539, 0.7869, 0.81085, 0.8363, 0.8667]","[0.17144439, 0.15435436, 0.14301169, 0.13071813, 0.118349925, 0.109347805, 0.10483505, 0.09622422, 0.087611675, 0.07899353, 0.0714581, 0.06401309, 0.056852557, 0.050262336, 0.04330189]","[0.17144439, 0.15435436, 0.14301169, 0.13071813, 0.118349925, 0.109347805, 0.10483505, 0.09622422, 0.087611675, 0.07899353, 0.0714581, 0.06401309, 0.056852557, 0.050262336, 0.04330189]",1.009774676,0.685,0.07212216,0.04444597,milestone-experiments2,benchmark_testing
NAdam,relu,AlexNet,"[2.2976343322753907, 2.3571075469970704, 2.1883602188110354, 2.085303448486328, 1.9955779403686524, 2.0103764755249025, 1.9679442687988282, 1.860835564994812, 1.870827087020874, 1.812075305747986, 1.6678976444244384, 1.586986180305481, 1.4795958133697509, 1.5572445571899414, 1.4043115369796753]","[0.1184, 0.1436, 0.1814, 0.22615, 0.2511, 0.24655, 0.267, 0.3091, 0.30715, 0.33535, 0.3873, 0.41535, 0.4566, 0.4371, 0.4938]","[0.17931937, 0.17806092, 0.17472515, 0.17059885, 0.16661431, 0.1660247, 0.16434443, 0.15984598, 0.15828437, 0.15611684, 0.14733852, 0.14107247, 0.13468818, 0.13722774, 0.12922141]","[0.17931937, 0.17806092, 0.17472515, 0.17059885, 0.16661431, 0.1660247, 0.16434443, 0.15984598, 0.15828437, 0.15611684, 0.14733852, 0.14107247, 0.13468818, 0.13722774, 0.12922141]",1.311461842,0.5165,0.120972216,0.06022268,milestone-experiments2,benchmark_testing
NAdam,selu,AlexNet,"[2.7328997032165527, 1.9942996877670287, 2.1006651847839355, 1.7510413833618164, 1.7720587320327759, 1.5362831047058105, 1.4009614109039306, 1.287945867729187, 16.86973564453125, 3.2049297157287597, 2.81056143951416, 2.5845287368774414, 2.1470642028808595, 1.7620529048919678, 1.445330121612549]","[0.17215, 0.28565, 0.2829, 0.3795, 0.3829, 0.4559, 0.5062, 0.54855, 0.14595, 0.1761, 0.2022, 0.2365, 0.3148, 0.39655, 0.48515]","[0.17359915, 0.16318667, 0.16096988, 0.14933568, 0.14886977, 0.13541923, 0.12650134, 0.117982484, 0.17205004, 0.16777252, 0.16353467, 0.15813524, 0.14774847, 0.13814159, 0.12800932]","[0.17359915, 0.16318667, 0.16096988, 0.14933568, 0.14886977, 0.13541923, 0.12650134, 0.117982484, 0.17205004, 0.16777252, 0.16353467, 0.15813524, 0.14774847, 0.13814159, 0.12800932]",1.330104826,0.54,0.123606384,0.060591135,milestone-experiments2,benchmark_testing
NAdam,tanh,AlexNet,"[2.2593599937438964, 1.95740191116333, 2.170675184059143, 1.7114349620819092, 1.5595243831634522, 1.7721826650619508, 1.4073339521408081, 1.2546173503875733, 2.3975315414428713, 2.850751072692871, 2.6549784015655518, 2.6070413467407225, 2.5288341079711913, 2.3890756801605226, 2.3622063594818115]","[0.17835, 0.29185, 0.2693, 0.387, 0.44435, 0.38525, 0.50015, 0.5577, 0.41685, 0.1019, 0.10945, 0.103, 0.13, 0.1564, 0.1606]","[0.17498045, 0.16370226, 0.1634506, 0.14903755, 0.13928276, 0.14453873, 0.12926899, 0.116885245, 0.13348323, 0.17964299, 0.17895782, 0.17936365, 0.17733501, 0.17411916, 0.17250493]","[0.17498045, 0.16370226, 0.1634506, 0.14903755, 0.13928276, 0.14453873, 0.12926899, 0.116885245, 0.13348323, 0.17964299, 0.17895782, 0.17936365, 0.17733501, 0.17411916, 0.17250493]",2.074923536,0.2305,0.16940868,0.08512741,milestone-experiments2,benchmark_testing
RAdam,relu,AlexNet,"[2.294749124145508, 2.1183997074127197, 1.9388571294784547, 1.785798656463623, 1.6450564191818238, 1.5502761547088624, 1.506670665359497, 1.398361658859253, 1.3328579587936402, 1.2493033948898316, 1.1499385980606078, 1.124731618118286, 1.0649809122085572, 0.9367050808906555, 0.9056130236625671]","[0.12005, 0.2023, 0.26225, 0.32825, 0.3843, 0.42665, 0.4456, 0.49225, 0.52225, 0.5506, 0.5883, 0.60035, 0.62015, 0.6678, 0.68285]","[0.1797941, 0.17270902, 0.16469416, 0.15644261, 0.14678161, 0.14028658, 0.13665049, 0.12834844, 0.12275134, 0.116790414, 0.10838347, 0.1056131, 0.101375155, 0.090190925, 0.08659469]","[0.1797941, 0.17270902, 0.16469416, 0.15644261, 0.14678161, 0.14028658, 0.13665049, 0.12834844, 0.12275134, 0.116790414, 0.10838347, 0.1056131, 0.101375155, 0.090190925, 0.08659469]",1.024766315,0.6405,0.0946273,0.04852459,milestone-experiments2,benchmark_testing
RAdam,selu,AlexNet,"[2.2009956314086914, 1.7509779167175292, 1.5622832794189454, 1.3910993539810181, 1.260860249900818, 1.4043101682662964, 1.0917213306427003, 0.943954672908783, 0.8648190751075745, 0.9248030974388123, 0.7877949862480164, 0.6091205662727356, 0.4638525143623352, 0.3802832719326019, 0.31415725564956665]","[0.19185, 0.3651, 0.4397, 0.49615, 0.5547, 0.5127, 0.6105, 0.6668, 0.69605, 0.67605, 0.7259, 0.7887, 0.8408, 0.86655, 0.8891]","[0.17206185, 0.15095517, 0.1373334, 0.12765427, 0.1147869, 0.120218985, 0.10346428, 0.090696, 0.0832563, 0.08353188, 0.075850025, 0.06156495, 0.04864791, 0.039829757, 0.033093587]","[0.17206185, 0.15095517, 0.1373334, 0.12765427, 0.1147869, 0.120218985, 0.10346428, 0.090696, 0.0832563, 0.08353188, 0.075850025, 0.06156495, 0.04864791, 0.039829757, 0.033093587]",1.327354611,0.654,0.07531458,0.051873498,milestone-experiments2,benchmark_testing
